0	2
1	2
2	2
3	4
4	3
5	2
6	4
7	2
8	4
9	5
10	4
11	4
12	4
13	2
14	4
15	4
16	2
17	2
18	2
19	4
20	5
21	2
22	5
23	4
24	4
25	2
26	4
27	4
28	4
29	4
30	4
31	5
32	4
33	2
34	4
35	5
36	2
37	2
38	4
39	4
40	5
41	2
42	4
43	4
44	2
45	4
46	4
47	1
48	4
49	2
50	4
51	4
52	2
53	4
54	4
55	2
56	2
57	2
58	4
59	4
60	2
61	2
62	1
63	4
64	4
65	4
66	2
67	4
68	4
69	2
70	4
71	5
72	4
73	4
74	2
75	5
76	5
77	2
78	4
79	2
80	2
81	4
82	2
83	4
84	5
85	4
86	2
87	4
88	2
89	4
90	5
91	4
92	5
93	3
94	4
95	4
96	4
97	4
98	4
99	2
100	2
101	5
102	4
103	4
104	2
105	4
106	4
107	4
108	4
109	5
110	3
111	5
112	4
113	4
114	4
115	4
116	4
117	4
118	2
119	4
120	4
121	4
122	4
123	5
124	4
125	1
126	2
127	5
128	4
129	2
130	2
131	2
132	5
133	3
134	2
135	4
136	4
137	5
138	4
139	3
140	4
141	4
142	5
143	3
144	4
145	3
146	5
147	5
148	3
149	3
150	4
151	4
152	3
153	2
154	4
155	3
156	2
157	4
158	4
159	5
160	4
161	2
162	5
163	4
164	4
165	5
166	4
167	4
168	4
169	5
170	4
171	1
172	4
173	4
174	4
175	4
176	2
177	4
178	4
179	4
180	4
181	2
182	4
183	2
184	4
185	4
186	4
187	1
188	4
189	2
190	4
191	4
192	5
193	4
194	4
195	5
196	4
197	2
198	4
199	4
200	4
201	2
202	4
203	4
204	2
205	2
206	4
207	4
208	2
209	5
210	3
211	4
212	4
213	4
214	4
215	4
216	2
217	4
218	4
219	4
220	4
221	4
222	4
223	5
224	4
225	4
226	4
227	2
228	2
229	4
230	4
231	4
232	4
233	4
234	1
235	2
236	4
237	5
238	4
239	5
240	5
241	5
242	4
243	4
244	5
245	4
246	2
247	1
248	4
249	2
250	4
251	5
252	4
253	2
254	2
255	2
256	4
257	4
258	4
259	4
260	4
261	2
262	2
263	2
264	4
265	5
266	5
267	4
268	4
269	5
270	5
271	2
272	4
273	4
274	2
275	2
276	4
277	2
278	4
279	2
280	4
281	4
282	4
283	2
284	2
285	4
286	4
287	2
288	2
289	4
290	2
291	5
292	2
293	2
294	4
295	2
296	2
297	4
298	4
299	2
300	2
301	2
302	2
303	2
304	2
305	2
306	4
307	2
308	4
309	4
310	4
311	2
312	4
313	4
314	2
315	2
316	2
317	2
318	2
319	2
320	2
321	4
322	2
323	4
324	4
325	4
326	4
327	2
328	4
329	2
330	4
331	4
332	2
333	2
334	1
335	2
336	5
337	3
338	4
339	4
340	2
341	4
342	5
343	2
344	5
345	4
346	5
347	1
348	2
349	2
350	1
351	4
352	2
353	4
354	4
355	2
356	2
357	4
358	4
359	2
360	4
361	2
362	2
363	4
364	4
365	5
366	4
367	2
368	1
369	1
370	2
371	5
372	5
373	5
374	4
375	4
376	5
377	4
378	4
379	4
380	2
381	4
382	4
383	2
384	2
385	2
386	1
387	2
388	5
389	5
390	2
391	4
392	2
393	5
394	4
395	5
396	4
397	4
398	3
399	2
400	2
401	5
402	2
403	4
404	4
405	5
406	4
407	5
408	2
409	2
410	4
411	4
412	4
413	2
414	5
415	2
416	2
417	5
418	1
419	5
420	5
421	5
422	2
423	4
424	2
425	4
426	3
427	4
428	2
429	2
430	2
431	5
432	2
433	4
434	4
435	4
436	4
437	4
438	2
439	4
440	4
441	4
442	4
443	4
444	2
445	4
446	5
447	3
448	5
449	4
450	4
451	4
452	4
453	4
454	3
455	2
456	4
457	4
458	4
459	5
460	5
461	1
462	4
463	4
464	4
465	2
466	4
467	2
468	4
469	4
470	4
471	4
472	4
473	2
474	4
475	4
476	4
477	4
478	4
479	4
480	4
481	1
482	4
483	4
484	4
485	5
486	2
487	4
488	5
489	4
490	2
491	2
492	5
493	4
494	4
495	2
496	4
497	5
498	4
499	5
500	4
501	4
502	4
503	4
504	4
505	2
506	2
507	4
508	5
509	4
510	4
511	5
512	4
513	4
514	4
515	4
516	5
517	5
518	5
519	5
520	5
521	4
522	4
523	5
524	4
525	2
526	4
527	5
528	4
529	4
530	4
531	4
532	4
533	5
534	3
535	4
536	4
537	4
538	4
539	2
540	2
541	2
542	4
543	3
544	4
545	4
546	4
547	4
548	2
549	2
550	4
551	5
552	3
553	4
554	4
555	4
556	4
557	5
558	4
559	4
560	2
561	4
562	2
563	4
564	4
565	4
566	2
567	4
568	4
569	2
570	4
571	4
572	4
573	4
574	4
575	4
576	4
577	2
578	4
579	5
580	4
581	4
582	4
583	4
584	4
585	4
586	2
587	4
588	4
589	4
590	2
591	2
592	4
593	2
594	4
595	4
596	4
597	4
598	2
599	4
600	2
601	4
602	2
603	4
604	2
605	2
606	2
607	2
608	4
609	4
610	5
611	4
612	4
613	4
614	4
615	4
616	4
617	4
618	2
619	4
620	4
621	4
622	5
623	2
624	4
625	4
626	2
627	2
628	4
629	5
630	4
631	5
632	4
633	2
634	5
635	5
636	2
637	4
638	2
639	4
640	5
641	4
642	4
